Time measured,Temperature,Relative humidity,Ambient light,Barometric pressure,Sound noise,eTVOC,eCO2,Discomfort index,Heat stroke,Vibration information,SI value,PGA,Seismic intensity,Altitude,Diff_alt,Drone_alt,Drone_alt_diff
2022/04/15 22:27:11,22.75,78.28,240,1003.785,36.28,60,798,71.16,22.95,0,0.0,0.0,0.0,81.34328773047129,0.0,2.407,0.0
2022/04/15 22:27:12,22.74,78.33,237,1003.794,34.57,60,798,71.15,22.95,0,0.0,0.0,0.0,81.26276125434075,-0.08052647613054376,2.509,0.10199999999999987
2022/04/15 22:27:13,22.74,78.34,240,1003.799,34.96,59,791,71.15,22.95,0,0.0,0.0,0.0,81.21955191110764,-0.04320934323310155,2.424,-0.08499999999999996
2022/04/15 22:27:15,22.76,78.32,240,1003.797,34.19,67,840,71.18,22.96,0,0.0,0.0,0.0,81.24232663362285,0.022774722515208623,2.54,0.1160000000000001
2022/04/15 22:27:16,22.77,78.29,237,1003.801,56.71,65,832,71.19,22.97,0,0.0,0.0,0.0,81.21050126473698,-0.03182536888587606,2.483,-0.05699999999999994
2022/04/15 22:27:17,22.78,78.19,235,1003.796,43.65,56,770,71.2,22.97,0,0.0,0.0,0.0,81.25646068648352,0.045959421746545104,2.438,-0.04499999999999993
2022/04/15 22:27:18,22.77,78.19,233,1003.792,35.66,54,761,71.18,22.96,0,0.0,0.0,0.0,81.28828596826251,0.031825281778992576,2.218,-0.2200000000000002
2022/04/15 22:27:20,22.76,78.18,235,1003.791,49.22,54,761,71.17,22.95,0,0.0,0.0,0.0,81.29418150397504,0.005895535712525657,2.483,0.2650000000000001
2022/04/15 22:27:21,22.73,78.29,231,1003.791,33.19,56,770,71.13,22.93,0,0.0,0.0,0.0,81.28593972287567,-0.008241781099371792,2.497,0.01399999999999979
2022/04/15 22:27:22,22.73,78.26,237,1003.785,44.47,57,778,71.13,22.93,0,0.0,0.0,0.0,81.33778970494035,0.051849982064680944,2.571,0.07400000000000029
2022/04/15 22:27:23,22.73,78.25,237,1003.777,65.08,69,857,71.12,22.93,0,0.0,0.0,0.0,81.40692358819472,0.06913388325436642,2.619,0.04800000000000004
2022/04/15 22:27:25,22.76,78.18,240,1003.775,52.59,68,848,71.17,22.95,0,0.0,0.0,0.0,81.43246296184235,0.025539373647632146,2.512,-0.1070000000000002
2022/04/15 22:27:26,22.79,78.1,240,1003.779,43.65,58,787,71.21,22.95,0,0.0,0.0,0.0,81.40614464695915,-0.026318314883198468,2.791,0.2789999999999999
2022/04/15 22:27:27,22.79,78.12,240,1003.779,33.69,56,770,71.21,22.97,0,0.0,0.0,0.0,81.40614464695915,0.0,2.622,-0.16900000000000004
2022/04/15 22:27:29,22.79,78.11,240,1003.783,33.19,54,761,71.21,22.95,0,0.0,0.0,0.0,81.37157069568784,-0.03457395127131235,2.729,0.1070000000000002
2022/04/15 22:27:30,22.77,78.13,240,1003.782,34.69,54,761,71.18,22.95,0,0.0,0.0,0.0,81.37471439018722,0.003143694499385674,2.54,-0.18900000000000006
2022/04/15 22:27:31,22.74,78.18,240,1003.783,34.19,54,757,71.14,22.93,0,0.0,0.0,0.0,81.35782271118157,-0.016891679005652804,2.54,0.0
2022/04/15 22:27:32,22.72,78.23,240,1003.784,36.16,68,848,71.11,22.92,0,0.0,0.0,0.0,81.34368209965771,-0.014140611523856705,2.534,-0.006000000000000227
2022/04/15 22:27:34,22.72,78.27,242,1003.782,34.89,68,848,71.11,22.92,0,0.0,0.0,0.0,81.36096494533894,0.017282845681222625,2.489,-0.04499999999999993
2022/04/15 22:27:35,22.74,78.22,242,1003.778,35.78,68,848,71.14,22.94,0,0.0,0.0,0.0,81.40103287416832,0.040067928829387256,2.599,0.11000000000000032
2022/04/15 22:27:36,22.76,78.15,244,1003.781,35.46,68,848,71.16,22.95,0,0.0,0.0,0.0,81.38060710771119,-0.02042576645713723,2.704,0.10499999999999998
2022/04/15 22:27:38,22.76,78.13,242,1003.783,34.39,68,848,71.16,22.94,0,0.0,0.0,0.0,81.36332190498406,-0.017285202727123306,2.594,-0.11000000000000032
2022/04/15 22:27:39,22.77,78.08,242,1003.783,33.19,57,778,71.17,22.93,0,0.0,0.0,0.0,81.3660715018853,0.002749596901239215,2.639,0.04499999999999993
2022/04/15 22:27:40,22.76,78.08,242,1003.788,33.19,54,761,71.16,22.92,0,0.0,0.0,0.0,81.320109077496,-0.04596242438930176,2.602,-0.03699999999999992
2022/04/15 22:27:41,22.76,78.07,242,1003.793,55.24,56,770,71.16,22.92,0,0.0,0.0,0.0,81.27689650619766,-0.04321257129834066,2.506,-0.09600000000000009
2022/04/15 22:27:43,22.76,78.07,244,1003.798,35.78,54,757,71.16,22.92,0,0.0,0.0,0.0,81.23368419109912,-0.043212315098543286,2.432,-0.07399999999999984
2022/04/15 22:27:44,22.74,78.11,242,1003.807,33.69,54,761,71.13,22.91,0,0.0,0.0,0.0,81.15041749477813,-0.08326669632099026,2.297,-0.1349999999999998
2022/04/15 22:27:45,22.75,78.13,244,1003.806,34.57,57,778,71.15,22.94,0,0.0,0.0,0.0,81.1618021403752,0.01138464559707586,2.249,-0.04800000000000004
2022/04/15 22:27:46,22.74,78.15,242,1003.807,36.04,68,848,71.13,22.93,0,0.0,0.0,0.0,81.15041749477813,-0.01138464559707586,2.43,0.18100000000000005
2022/04/15 22:27:48,22.72,78.25,244,1003.804,35.07,54,761,71.11,22.92,0,0.0,0.0,0.0,81.17085589696767,0.02043840218954074,2.322,-0.1080000000000001
2022/04/15 22:27:49,22.71,78.28,242,1003.805,33.69,62,808,71.1,22.92,0,0.0,0.0,0.0,81.15947152293306,-0.011384374034605571,2.466,0.14400000000000013
2022/04/15 22:27:50,22.71,78.27,242,1003.808,36.09,62,808,71.09,22.91,0,0.0,0.0,0.0,81.13354885293283,-0.0259226700002273,2.093,-0.3730000000000002
2022/04/15 22:27:52,22.73,78.19,242,1003.812,35.16,65,827,71.12,22.92,0,0.0,0.0,0.0,81.10446769052112,-0.02908116241171399,2.252,0.1589999999999998
2022/04/15 22:27:53,22.74,78.18,242,1003.815,33.69,66,836,71.14,22.93,0,0.0,0.0,0.0,81.08128373422322,-0.023183956297899044,2.3,0.04800000000000004
2022/04/15 22:27:54,22.74,78.14,242,1003.811,34.57,62,808,71.13,22.93,0,0.0,0.0,0.0,81.11585053252631,0.034566798303089286,2.401,0.10099999999999998
2022/04/15 22:27:55,22.74,78.12,242,1003.808,35.39,64,821,71.13,22.93,0,0.0,0.0,0.0,81.1417757388437,0.025925206317396032,2.325,-0.07599999999999962
2022/04/15 22:27:57,22.76,78.07,244,1003.804,34.89,62,808,71.16,22.92,0,0.0,0.0,0.0,81.18182975114644,0.040054012302732644,2.28,-0.04500000000000037
2022/04/15 22:27:58,22.77,78.07,244,1003.809,35.28,54,759,71.17,22.93,0,0.0,0.0,0.0,81.14136000289128,-0.040469748255162585,2.447,0.16700000000000026
2022/04/15 22:27:59,22.76,78.12,244,1003.808,35.59,53,754,71.16,22.94,0,0.0,0.0,0.0,81.14726032945096,0.005900326559682867,2.283,-0.16400000000000015
2022/04/15 22:28:01,22.77,78.1,244,1003.807,33.19,53,754,71.18,22.93,0,0.0,0.0,0.0,81.15864525686823,0.011384927417267932,2.401,0.11799999999999988
2022/04/15 22:28:02,22.77,78.11,244,1003.805,35.07,56,768,71.18,22.93,0,0.0,0.0,0.0,81.17593055183652,0.017285294968289122,2.404,0.0030000000000001137
2022/04/15 22:28:03,22.76,78.09,244,1003.803,35.57,52,742,71.16,22.92,0,0.0,0.0,0.0,81.19047213218019,0.01454158034367481,2.297,-0.10699999999999976
2022/04/15 22:28:04,22.75,78.1,244,1003.803,33.19,50,733,71.14,22.91,0,0.0,0.0,0.0,81.18772837657436,-0.002743755605834508,2.48,0.18299999999999983
2022/04/15 22:28:06,22.75,78.08,244,1003.799,34.57,52,742,71.14,22.91,0,0.0,0.0,0.0,81.22229683496148,0.03456845838712752,2.449,-0.03100000000000014
2022/04/15 22:28:07,22.75,78.07,244,1003.798,34.07,52,742,71.14,22.91,0,0.0,0.0,0.0,81.23093897518243,0.008642140220942451,2.5,0.051000000000000156
2022/04/15 22:28:08,22.73,78.14,246,1003.801,35.16,52,742,71.12,22.92,0,0.0,0.0,0.0,81.19952390582041,-0.031415069362012105,2.427,-0.07299999999999995
2022/04/15 22:28:09,22.73,78.14,246,1003.804,34.39,64,821,71.12,22.92,0,0.0,0.0,0.0,81.17359936051236,-0.0259245453080581,2.286,-0.14100000000000001
2022/04/15 22:28:11,22.73,78.17,244,1003.801,37.18,62,808,71.12,22.92,0,0.0,0.0,0.0,81.19952390582041,0.0259245453080581,2.399,0.11299999999999999
2022/04/15 22:28:12,22.77,78.07,244,1003.799,36.13,62,808,71.17,22.93,0,0.0,0.0,0.0,81.22778668266913,0.02826277684872025,2.399,0.0
2022/04/15 22:28:13,22.79,78.05,244,1003.798,35.07,53,754,71.2,22.94,0,0.0,0.0,0.0,81.24191983884923,0.01413315618009392,2.466,0.06700000000000017
2022/04/15 22:28:15,22.78,78.03,244,1003.793,34.19,56,768,71.19,22.93,0,0.0,0.0,0.0,81.28238985867011,0.04047001982088716,2.232,-0.23399999999999999
